dataset,method,n_runs,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,demographic_parity_ratio_mean,demographic_parity_ratio_std,demographic_parity_ratio_ci_low,demographic_parity_ratio_ci_high,equalized_odds_gap_mean,equalized_odds_gap_std,equalized_odds_gap_ci_low,equalized_odds_gap_ci_high,intervention_rate_mean,intervention_rate_std,intervention_rate_ci_low,intervention_rate_ci_high
german_credit,coda_no_warmup,3,0.7816666666666667,0.011547005383792525,0.7686000000000001,0.7947333333333334,1.0612957846265099,0.13287868882877657,0.9109293929673868,1.2116621762856328,0.12399093908275133,0.05756952702430308,0.05884488651053371,0.18913699165496894,0.08666666666666667,0.036170890690351176,0.04573545065193722,0.1275978826813961
german_credit,group_threshold,3,0.7833333333333333,0.014433756729740658,0.767,0.7996666666666666,1.0663240768075797,0.14116430586596665,0.906581626823882,1.2260665267912774,0.13212102038356432,0.05857888839651806,0.06583276789382919,0.19840927287329946,0.08833333333333333,0.03752776749732568,0.04586666666666667,0.1308
recruitment,base_model,3,0.9886826182618261,0.0006980770157588886,0.9878926697540177,0.9894725667696346,0.9069611959462337,0.012897804189407653,0.8923659565336429,0.9215564353588245,0.01735936965913128,0.009620509653596747,0.0064727381361701485,0.02824600118209241,0.0,0.0,0.0,0.0
recruitment,coda_full,3,0.9843509350935093,0.00020350176824739764,0.9841206511641801,0.9845812190228386,0.913517200501032,0.015044120839621812,0.8964931751567373,0.9305412258453267,0.015982578754485943,0.005024016312291454,0.01029736910066944,0.021667788408302448,0.01305005500550055,0.00041322825086129606,0.012582443219432355,0.013517666791568744
recruitment,coda_naive_init,3,0.9858223322332234,0.00031237119613864226,0.985468850948635,0.9861758135178117,0.9279310011631522,0.013645528752698605,0.9124896317538858,0.9433723705724186,0.01804932209101377,0.004388116705860258,0.013083700582740498,0.02301494359928704,0.010946094609460945,0.000668181001829282,0.010189976626164826,0.011702212592757064
recruitment,coda_no_damping,3,0.9845434543454346,0.0004781446273573493,0.9840023827639746,0.9850845259268945,0.9146767643613658,0.013744624974507694,0.8991232570206386,0.930230271702093,0.015958954026635757,0.005243799907401892,0.010025035821930324,0.02189287223134119,0.01283003300330033,0.0004537953795379539,0.012316515189615167,0.013343550816985492
recruitment,coda_no_ema,3,0.984419691969197,8.587731020903747e-05,0.9843225126443907,0.9845168712940032,0.9136298845164076,0.014443503426044776,0.8972855217579139,0.9299742472749013,0.015958125796414868,0.004557287129082872,0.010801069932944059,0.021115181659885678,0.013008800880088009,0.00047814462735736306,0.012467729298627968,0.013549872461548049
recruitment,coda_no_overshoot,3,0.9843509350935093,0.00020350176824739764,0.9841206511641801,0.9845812190228386,0.913517200501032,0.015044120839621812,0.8964931751567373,0.9305412258453267,0.015982578754485943,0.005024016312291454,0.01029736910066944,0.021667788408302448,0.01305005500550055,0.00041322825086129606,0.012582443219432355,0.013517666791568744
recruitment,coda_no_warmup,3,0.9843509350935093,0.00020350176824739764,0.9841206511641801,0.9845812190228386,0.914010419654137,0.014190302526386188,0.8979525806864941,0.9300682586217799,0.016151184385914046,0.00503472638748842,0.010453855141093446,0.021848513630734645,0.012995049504950494,0.0005069391801751033,0.01242139381956224,0.013568705190338749
recruitment,group_threshold,3,0.9894389438943895,0.00046491038240862426,0.9889128482709014,0.9899650395178775,0.8832938230170608,0.012473277621120734,0.8691789806402881,0.8974086653938336,0.006506484647565054,0.0013544791734120618,0.004973747173417911,0.008039222121712198,0.00424917491749175,0.0002509390482796295,0.003965210652425862,0.004533139182557638
