hyperparameter,hp_value,seed,dataset,model,accuracy,demographic_parity_ratio,intervention_rate
warmup,200.0,52,compas,xgboost,0.6907099697885196,0.9951391878496598,0.138595166163142
max_deviation,0.02,52,compas,xgboost,0.6948640483383686,0.9961179165281763,0.13746223564954682
max_deviation,0.05,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
max_deviation,0.08,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
max_deviation,0.12,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
max_deviation,0.15,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
max_deviation,0.2,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
lambda_cap,1.0,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
lambda_cap,2.0,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
lambda_cap,3.0,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
lambda_cap,5.0,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
lambda_cap,8.0,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
lambda_cap,10.0,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
accuracy_floor,0.001,52,compas,xgboost,0.6895770392749244,0.9928336828854883,0.13746223564954682
accuracy_floor,0.01,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
accuracy_floor,0.02,52,compas,xgboost,0.6903323262839879,0.9935024457643808,0.13821752265861026
accuracy_floor,0.05,52,compas,xgboost,0.6895770392749244,0.988963438926164,0.13746223564954682
accuracy_floor,0.1,52,compas,xgboost,0.6899546827794562,0.9899740445805181,0.138595166163142
accuracy_floor,0.2,52,compas,xgboost,0.6903323262839879,0.9851683453349817,0.13746223564954682
eta,0.01,62,adult,xgboost,0.8407799785045295,1.0021109865824072,0.07477352986335022
eta,0.05,62,adult,xgboost,0.8389375095961922,0.9898136473728222,0.07108859204667588
eta,0.1,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
eta,0.25,62,adult,xgboost,0.8389375095961922,0.9817738311757783,0.06955320128972824
eta,0.5,62,adult,xgboost,0.8384768923691079,0.983845083984166,0.069706740365423
eta,1.0,62,adult,xgboost,0.8381698142177184,0.9768988093218902,0.06847842775986489
ema_alpha,0.05,62,adult,xgboost,0.8383233532934131,0.983898084311914,0.06955320128972824
ema_alpha,0.1,62,adult,xgboost,0.8387839705204975,0.9950410451105861,0.07154920927376017
ema_alpha,0.2,62,adult,xgboost,0.8378627360663289,0.9971664194737967,0.07154920927376017
ema_alpha,0.35,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
ema_alpha,0.5,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
ema_alpha,0.7,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
ema_alpha,1.0,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
warmup,5.0,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
warmup,15.0,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
warmup,30.0,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
warmup,50.0,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
warmup,100.0,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
warmup,200.0,62,adult,xgboost,0.8387839705204975,0.9950410451105861,0.07154920927376017
max_deviation,0.02,62,adult,xgboost,0.8513741747274681,0.8946363328457054,0.0804544756640565
max_deviation,0.05,62,adult,xgboost,0.8492246276677414,0.944429452182758,0.08076155381544603
max_deviation,0.08,62,adult,xgboost,0.8450790726239829,0.9569620989275659,0.07692307692307693
max_deviation,0.12,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
max_deviation,0.15,62,adult,xgboost,0.8352525717795178,1.0343154846948794,0.06955320128972824
